Resource Title,Listing Description (HTML),Categories (Slug-Based),Email,Fax,Mobile Phone,Phone,Website,Facebook,Twitter,Times Accessed (As of 3.14.2023)
Little Rascals ELC,"Early Learning Center for ages 2-5. Preschool learning activities, Large play ground, Open year round from 7:30 -5:30. Air conditioned. Clean loving environment.",children;day-care,,,,(301) 334-4721,,https://www.facebook.com/pg/Little-Rascals-Early-Learning-Center-139033466144238/about/?tab=page_info,,2914
Kids World,"Kids World is a Licensed Child Care Center in Oakland, MD.  It has maximum capacity of 15 children.  The center accepts children ages of 6 weeks through 17 months, 18 months, through 23 months, 2 years, 3 years, 4 years, 5.",children,,,,301.533.0301,,https://www.facebook.com/pages/Kids-World/125370377517016,,2048
Accident Development Learning Center,"Accident Development Learning Center is Licensed Child Care in Accident MD.  It has maximum capactiy of 30 children.  The center accepts children ages of 3, 4, 5, to 15  yearsl",,,,,301.746.8880,,,,2048
Dennett Rd Early Learning Ctr,"Dennett Rd Early Learning Ctr is a Licensed Child Care Center in Oakland MD. It has maximum capacity of 170 children. The center accepts children ages of: 18 months through 23 months, 2 years, 3 years, 4 years, 5 years, 5 years to 15 years.   Monday to Friday 6:30 AM - 6:00 PM January - December",children,,,,(301) 334-7494,,,,3016
Sunny Days Friendsville,"Sunny Days Friendsville is a Licensed Child Care Center in Friendsville MD. It has maximum capacity of 23 children. The center accepts children ages of: 2 years, 3 years, 4 years, 5 years, 5 years to 15 years.

2 years, 3 years, 4 years, 5 years, 5 years to 15 years
<strong>Normal Open Hours</strong>: Monday - Friday 6:00 AM - 6:00 PM Jan - Dec",children,,,,(301) 746-4063,,,,2529
Office of Child Care,"CHILD CARE: Provides information and the means for becoming a licensed day care provider in a private home or for a center. Also investigates complaints of alleged unlicensed day care centers or home operations. Assigns providers a licensing specialist that monitors the licensee and provider.

&nbsp;

&nbsp;
<table id=""fvResourceAgency_Table1"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td class=""ResultHeadings"">Application Process</td>
<td class=""ResultDetails""><span id=""fvResourceAgency_lblApplicationProcess"">Client must undergo an orientation, application process and an inspection of the day care site, as well as other training requirements. Call or visit web site for further information.</span></td>
</tr>
<tr>
<td class=""ResultHeadings"">Documents Required</td>
<td class=""ResultDetails""><span id=""fvResourceAgency_lblDocumentsRequired"">Call or visit website at www.marylandpublicschools.org for documentation information.</span></td>
</tr>
<tr>
<td class=""ResultHeadings""></td>
</tr>
</tbody>
</table>",children,dawna.rodeheaver@maryland.gov,301.334.5476,,301-334-3426,,,,2057
Maryland Family Network-locate child care,"<h3>locate: child care</h3>
Selecting child care is one of the most important decisions your family will ever make. Take the time to make the right choice—the first five years last forever.

Maryland Family Network’s LOCATE: Child Care is a free, referral service with detailed information on all regulated child care in Maryland. Our trained referral specialists will help you identify care based on your personal preferences including program type, location, and cost.
<h4>reliable child care is just a phone call away.</h4>
Safe and reliable child care is only a phone call away. A trained LOCATE: Child Care Referral Specialist is ready to help you select the best child care option for your family. (Toll-Free) 877.261.0060

<hr />

<h4>services for children with special needs</h4>
All children are entitled to quality child care and it is the parent’s right to make an informed decision concerning their child care needs. Maryland Family Network offers the LOCATE: Child Care Special Needs Service. If your child has special needs, <a href=""http://www.marylandfamilynetwork.org/special-needs-service/"">we can help.</a>

<hr />

<h4>child care referral service for universities and colleges</h4>
If you are associated with the University of Maryland College Park and have a Unique ID Number (UID#), you can receive free assistance in locating regulated child care by calling 800.999.0120.

If you are faculty or staff of Johns Hopkins University and Health System, you can receive free child care referrals by calling 800.999.0120.",children,info@marylandfamilynetwork.org,,,1.800.924.9188,http://www.marylandfamilynetwork.org/programs-services/locate/,https://www.facebook.com/MarylandFamilyNetwork,,1996
University of Maryland Extension,"<div class=""left right"">Welcome to the University of Maryland Extension (UME) of Garrett County which is part of a statewide, non-formal education system within the College of Agriculture and Natural Resources of the University of Maryland, College Park and the University of Maryland, Eastern Shore.  This partnership also includes support from USDA as well as county government.  The Garrett County UME faculty and staff provide a broad range of outreach through workshops, seminars, classes, clinics, newsletters, consultations, and media efforts, related to the following topics:</div>
<div class=""left right""></div>
<ul>
 	<li>4-H &amp; Youth Development</li>
 	<li>Agriculture</li>
 	<li>Environment &amp; Natural Resources</li>
 	<li>Home Gardening / Master Gardeners</li>
 	<li>Food &amp; Nutrition</li>
 	<li>Health &amp; Wellness</li>
</ul>",agriculture;diabetes,wguard@umd.edu,,,(301) 334-6960,https://extension.umd.edu/efnep,https://www.facebook.com/4HGarrettCoMD,,2165
University of Maryland-Allegany,"&nbsp;

Welcome to the University of Maryland Extension (UME) of Allegany County which is part of a statewide, non-formal education system within the College of Agriculture and Natural Resources of the University of Maryland, College Park and the University of Maryland, Eastern Shore.  This partnership also includes support from USDA as well as county government.  The Allegany County UME faculty and staff provide a broad range of outreach through workshops, seminars, classes, clinics, newsletters, consultations, and media efforts related to the following topics:
<ul>
 	<li>4-H &amp; Youth</li>
 	<li>Agriculture</li>
 	<li>Environment &amp; Natural Resources</li>
 	<li>Home Gardening</li>
 	<li>Food &amp; Nutrition</li>
 	<li>Health &amp; Wellness</li>
 	<li>Money</li>
</ul>",agriculture,jparrish@umd.edu,(301) 722-4015,,(301) 724-3320,https://extension.umd.edu/allegany-county,,,1433
LaVale United Methodist Churc,"Food

Tuesdays and Thursdays, 1:00 PM to 2:30 PM",food;church,churchoffice@lavaleumc.org,,,301.722.6800,http://www.umclavale.org/,https://www.facebook.com/lavaleumc/,,1999
Tender Loving Home Care,"Tender Loving Home Care provides the following services:

Self-care assistance with activities of daily living, including:
• Dressing and grooming
• Bathing and toileting<span class=""text_exposed_show"">
• Walking, moving, and transferring (including safe use of wheelchairs, walkers, or lifts)
• Reminders about medications and appointments
• Meal preparation, help with eating
Household support services, including:
• Light housekeeping, such as vacuuming, dusting, and sweeping
• Washing and folding laundry
• Trash removal
• Shopping for groceries, picking up prescriptions, and other errands
• Companionship (such as conversation, reading, and on outings)</span>
<div class=""text_exposed_show"">

Contact us at 1-888-876-4967 to learn how we can help you!

</div>",hospitals-and-health-services,,,,3013344949,,https://www.facebook.com/tenderlovinghc/,,3723
Rehab 1st Physical Therapy & Rehabilitation Services,"Rehab 1st is a comprehensive rehabilitation center with convenient Maryland locations on the Downtown Cumberland Mall, on Main Street in Frostburg, and just outside of Olde Towne Gaithersburg. As a locally owned and operated company, Rehab 1st is dedicated to serving the tri-state area's rehabilitation needs.

Rob Boyle, Masters in Physical Therapy, and Bill Freas, CCC-SLP/AUD, established Rehab<span class=""text_exposed_show""> 1st to continue a long history of service to the residents of Maryland, Pennsylvania, and West Virginia.</span>

Our staff has years of experience in all aspects of rehabilitation, and prides itself on our Core Values that place quality care and customers first.

At Rehab 1st, we welcome the opportunity to help patients achieve their rehabilitation goals. We are dedicated to our communities and the quality of the daily life of its members.

PLEASE NOTE: Our Cumberland office is offering Saturday hours for non Medicare Physical Therapy patients only as well as appointments for Massage Therapy!",physical-therapy,chooserehab1st@gmail.com,(301) 689-5236,,(301) 689-5233,http://www.rehab1st.com/location/,https://www.facebook.com/Rehab-1st-111435285640382/?ref=settings,,3028
Progressive Physical Therapy,"Specializing in orthopedic and sports related injuries, we offer our patients the most current techniques, procedures, and modalities to return them to full function. Patients are treated by a licensed professional on each visit, as an individual, with treatment goals and a plan of care that gets you back on your way to better health.",physical-therapy,,,,301.729.3485,http://www.progressive-pt.net/,https://www.facebook.com/progressivecumberland,,1937
Hamilton Physical Therapy,"Hamilton Physical Therapy, LLC is dedicated to promoting a better quality of life for the community by providing a hands-on approach to physical therapy.",physical-therapy,jason@hamiltonphysicaltherapy.net,,,304.538.7971,http://hamiltonphysicaltherapy.net/,https://www.facebook.com/HamiltonPhysicalTherapyLLC/,,1836
Family Planning Medical Assistance Insurance,"<div><span class=""ms-rteThemeForeColor-2-0 ms-rteFontSize-3 ms-rteThemeFontFace-2"">The Family Planning Program is a limited benefit for Maryland residents that pays for certain family planning services, such as birth control and physical exams, to eligible women under age 51.  </span>The Family Planning Program does not provide comprehensive insurance coverage.</div>
<div class=""ms-rteFontSize-3""></div>
<div class=""ms-rteFontSize-3"">Family Planning services include:</div>
<div>
<ul class=""ms-rteThemeForeColor-2-0 ms-rteFontSize-3 ms-rteThemeFontFace-2"">
 	<li>Advice about birth control methods;</li>
 	<li>Physical exams, including pelvic and breast exams;</li>
 	<li>Screenings, such as pap smears and for sexually transmitted infections, when done as part of the family planning visit;</li>
 	<li>Birth control pills and devices, such as IUDs;</li>
 	<li>Emergency contraception; and</li>
 	<li>Permanent sterilization (must be age 21 or over).</li>
</ul>
<p class=""ms-rteThemeForeColor-2-0 ms-rteThemeFontFace-2 ms-rteFontSize-3"">To apply for the Family Planning program, you must fill out the application. You can obtain an application by calling toll free at 1-855-692-4993 or by stopping by the health department.</p>
Program Eligibility Criteria includes:  Maryland resident, female, must have an income at or below <strong>200% of the federal poverty level</strong> and be less than 52 years of age

Federal Poverty Income Guidelines for 2017:
<table border=""1"" width=""100%"" cellspacing=""0"" cellpadding=""5"">
<tbody>
<tr>
<th align=""center"" width=""11%"">Size of family unit</th>
<th align=""center"" width=""13%"">100 Percent of Poverty</th>
<th align=""center"" width=""13%"">110 Percent of Poverty</th>
<th align=""center"" width=""13%"">125 Percent of Poverty</th>
<th align=""center"" width=""13%"">150 Percent of Poverty</th>
<th align=""center"" width=""12%"">175 Percent of Poverty</th>
<th align=""center"" width=""12%"">185 Percent of Poverty</th>
<th align=""center"" width=""13%"">200 Percent of Poverty</th>
</tr>
<tr>
<td align=""center"" width=""11%"">1</td>
<td align=""center"" width=""13%"">$11,880</td>
<td align=""center"" width=""13%"">$13,068</td>
<td align=""center"" width=""13%"">$14,850</td>
<td align=""center"" width=""13%"">$17,820</td>
<td align=""center"" width=""12%"">$20,790</td>
<td align=""center"" width=""12%"">$21,978</td>
<td align=""center"" width=""13%"">$23,760</td>
</tr>
<tr>
<td align=""center"" width=""11%"">2</td>
<td align=""center"" width=""13%"">$16,020</td>
<td align=""center"" width=""13%"">$17,622</td>
<td align=""center"" width=""13%"">$20,025</td>
<td align=""center"" width=""13%"">$24,030</td>
<td align=""center"" width=""12%"">$28,035</td>
<td align=""center"" width=""12%"">$29,637</td>
<td align=""center"" width=""13%"">$32,040</td>
</tr>
<tr>
<td align=""center"" width=""11%"">3</td>
<td align=""center"" width=""13%"">$20,160</td>
<td align=""center"" width=""13%"">$22,176</td>
<td align=""center"" width=""13%"">$25,200</td>
<td align=""center"" width=""13%"">$30,240</td>
<td align=""center"" width=""12%"">$35,280</td>
<td align=""center"" width=""12%"">$37,297</td>
<td align=""center"" width=""13%"">$40,320</td>
</tr>
<tr>
<td align=""center"" width=""11%"">4</td>
<td align=""center"" width=""13%"">$24,300</td>
<td align=""center"" width=""13%"">$26,730</td>
<td align=""center"" width=""13%"">$30,375</td>
<td align=""center"" width=""13%"">$36,450</td>
<td align=""center"" width=""12%"">$42,525</td>
<td align=""center"" width=""12%"">$44,955</td>
<td align=""center"" width=""13%"">$48,600</td>
</tr>
<tr>
<td align=""center"" width=""11%"">5</td>
<td align=""center"" width=""13%"">$28,440</td>
<td align=""center"" width=""13%"">$31,284</td>
<td align=""center"" width=""13%"">$35,550</td>
<td align=""center"" width=""13%"">$42,660</td>
<td align=""center"" width=""12%"">$49,770</td>
<td align=""center"" width=""12%"">$52,614</td>
<td align=""center"" width=""13%"">$56,880</td>
</tr>
<tr>
<td align=""center"" width=""11%"">6</td>
<td align=""center"" width=""13%"">$32,580</td>
<td align=""center"" width=""13%"">$35,838</td>
<td align=""center"" width=""13%"">$40,725</td>
<td align=""center"" width=""13%"">$48,870</td>
<td align=""center"" width=""12%"">$57,015</td>
<td align=""center"" width=""12%"">$60,273</td>
<td align=""center"" width=""13%"">$65,160</td>
</tr>
<tr>
<td align=""center"" width=""11%"">7</td>
<td align=""center"" width=""13%"">$36,730</td>
<td align=""center"" width=""13%"">$40,403</td>
<td align=""center"" width=""13%"">$45,913</td>
<td align=""center"" width=""13%"">$55,095</td>
<td align=""center"" width=""12%"">$64,278</td>
<td align=""center"" width=""12%"">$67,951</td>
<td align=""center"" width=""13%"">$73,460</td>
</tr>
<tr>
<td align=""center"" width=""11%"">8</td>
<td align=""center"" width=""13%"">$40,890</td>
<td align=""center"" width=""13%"">$44,979</td>
<td align=""center"" width=""13%"">$51,113</td>
<td align=""center"" width=""13%"">$61,335</td>
<td align=""center"" width=""12%"">$71,558</td>
<td align=""center"" width=""12%"">$75,647</td>
<td align=""center"" width=""13%"">$81,780</td>
</tr>
</tbody>
</table>
Women enrolled in the program should receive a Family Planning Medical Assistance Insurance card.

<img src=""https://lh6.googleusercontent.com/ld6N2nxUJj9OBhDbpXkaSC7Ze6pVIwa2oIjwcx4EtcXdbdqEpnrETQ1aTh8_BRRpsXRWjLstmXzdxduranEQtWl0HIUufM-GFuAwS3-V_zzbks8WslRTP2j60m9NnzS15LXccRtS"" alt=""Medicaid Family Planning Card"" />

</div>",insurance;hospitals-and-health-services;government;pregnancy-1,,301-334-7771,,301-334-7770 or 301-895-3111,http://www.garretthealth.org,,,2710
Community First Choice/Community Options Waiver,"Community First Choice is a program that provides assistance and support to enable older adults and people with disabilities to safely live in their own homes or delay nursing facility placement until absolutely necessary. To enroll in the program individuals must have medical assistance and also a debilitating medical condition which requires assistance with activities of daily living (assistance with cooking, bathing, dressing, light household chores, medication administration, transportation and decision making).

This program is self-directed meaning the client is the decision maker.  The client receives funding to purchase necessary items for their personal safety and wellbeing.  The client may elect to purchase grab bars for their bathroom, home delivered meals, emergency response systems, or pay for a person to assist them in daily grooming and household chores.  Individuals make their own decisions and receives support from a program advocate.

To apply for the program call the Maryland Access Point (MAP) office at Community Action by dialing 301-334-9431.  The MAP Coordinator will discuss the program with you and/or a family member to determine preliminary eligibility.  If you meet the financial eligibility criteria a nurse from the health department will make an appointment with you to determine if you may meet the other requirements.  Enrollment into the program may take as long as 4 to 6 weeks. Call today if interested.

See flyers attached below.",aging-populations;disabled-populations;alzheimers;cancer;education;public-health;senior-citizen-services,,301-334-7746,,301-334-7740 or 301-895-3111,,,,4785
Evans Assisted Living,"Evans Assisted Living is an assisted living facility. Assisted living facilities are an apartment-style habitat designed to focus on providing assistance with daily living activities. They provide a higher level of service for the elderly which can include preparing meals, housekeeping, medication assistance, laundry, and also do regular check-in's on the residents. Basically, they are designed to bridge the gap between independent living and nursing home facilities. When thinking about how to pay for care, assisted living facilities are generally less expensive than nursing homes, if assisted living is a viable option for your loved one.

Also, Evans Assisted Living facility provides Alzheimer's care. This means it has special safeguards for wandering seniors, and caregivers are trained in handling dementia behaviors.

Assistance with ADL's, laundry/linen service, house keeping, medications monitoring, three nutritious meals/snacks provided,phone/TV, room furnishings, private/companion rooms, activities and outings.",aging-populations,,,,240.522.0384,,,,2464
Frostburg Village Assisted Living,"Assisted Living at Frostburg Village creates a place for living. Our people care for our residents like family, taking the extra measures to create the comforts of home. As a 35-bed ALF and proud member of the Consulate Health Care family, our compassionate caregivers treat every person like a unique member of the community, not because it's their job, but because it's their calling.",aging-populations,,,,301.689.7480,,https://centers.consulatehealthcare.com/ll/US/MD/Frostburg/100-Village-Pkwy_,,2000
Sincerely Yours Assisted LIving,"Sincerely Yours Assisted Living offers nursing home care, independent living, and assisted living. They are a great choice for seniors who need a higher level of attention and regular nursing care. Also, they can accommodate seniors who are healthy and independent and who desire to live around other people their age and enjoy services like housekeeping and on-site maintenance in an enjoyable, community environment. In addition, they can service seniors who need help with common tasks such as preparing food, personal hygiene, and house cleaning, but who are still mobile and are mostly independent.",aging-populations,,,,301.724.9131,,,,1740
Golden Living Community,Assisted Living Facility,aging-populations,,,,301.722.5535,,,,2257
Frostburg Medical Center,Urgent Care,hospitals-and-health-services,,,,301.689.3229,,,,3733
Health Matters Urgent Care,"Our professional staff is dedicated to providing you with expert care and exceptional service. With years of experience, you can depend on our knowledge and skills to treat your medical and aesthetic concerns.

We are open Monday through Saturday from 9:00 a.m. to 7:00 p.m. and check in our last patient at 6:30 p.m. We are here for all of your urgent needs...with no appointments! Our practitioners, Ronna Monseau, M.D., Emily Davis, PA-C, Bethany Nelson, PA-C and Jennifer Miller, PA-C, and our exceptional staff work diligently to help you with all of your urgent care needs including cold and flu symptoms,<span class=""text_exposed_show"">throat, ear and sinus infections, sprains, sports injuries, allergic reactions, wart removal, urinary tract infections, burns, insect bites, cuts and lacerations, rashes and skin conditions and nausea. We are also now offering cosmetic laser procedures which includes, hair removal, skin tightening, age spots, pigmented lesions and spider veins. </span>",hospitals-and-health-services,contact@healthmattersurgentcare.com,,,301.729.3278,http://hmucare.com/contact-us,https://www.facebook.com/healthmattersurgentcare?fref=ts,,3724
Hunt Club Medical Center,Urgent Care,hospitals-and-health-services,,,,304.726.4501,,,,2471
MedExpress,"With no appointment necessary and most major insurance accepted, you can take comfort in knowing great care is there when you need it.",hospitals-and-health-services,,,,301.729.0589,https://www.medexpress.com/location/md/la-vale/lvm/?utm_source=los&utm_campaign=website-link&utm_medium=yext-gmb&utm_content=centerpage,https://www.facebook.com/MedExpress/,,3824
Allegany Hearing and Balance,"Our patient-centered approach allows us to focus on satisfying your hearing care needs, whatever they may be. Our practice will work with you to diagnose and find solutions for your hearing, tinnitus, and balance needs using state-of-the-art equipment and the most advanced technology. Because our focus is entirely on your unique needs, coming to Allegany Hearing &amp; Balance Center means that you’ll experience patient care that is specific to you, with exceptional follow-up care that ensures your hearing and balance needs are being met.

Allegany Hearing &amp; Balance Center wants you to be satisfied with your care. We are a local, independent, community-oriented practice. Our services are fully guaranteed, meaning we are committed to listening to your concerns, and your technology is always perfectly fit to renew your world of hearing. A strong patient-provider relationship based on honesty, integrity, and values is what we strive for, and we feel that this is the best approach to making sure you don’t miss any of the precious moments in your life.",hospitals-and-health-services,ahb@ahbhearing.com,,,240-580-2463,https://www.ahbhearing.com/location/oakland/,https://www.facebook.com/AlleganyHearing,,2919
Allegany Hearing and Balance,"Our patient-centered approach allows us to focus on satisfying your hearing care needs, whatever they may be. Our practice will work with you to diagnose and find solutions for your hearing, tinnitus, and balance needs using state-of-the-art equipment and the most advanced technology. Because our focus is entirely on your unique needs, coming to Allegany Hearing &amp; Balance Center means that you’ll experience patient care that is specific to you, with exceptional follow-up care that ensures your hearing and balance needs are being met.

Allegany Hearing &amp; Balance Center wants you to be satisfied with your care. We are a local, independent, community-oriented practice. Our services are fully guaranteed, meaning we are committed to listening to your concerns, and your technology is always perfectly fit to renew your world of hearing. A strong patient-provider relationship based on honesty, integrity, and values is what we strive for, and we feel that this is the best approach to making sure you don’t miss any of the precious moments in your life.",hospitals-and-health-services,ahb@ahbhearing.com,,,,https://www.ahbhearing.com/location/lavale/,https://www.facebook.com/AlleganyHearing,,2723
"Friendship Haven Church, Food Pantry","Provides an emergency food pantry and monthly food baskets to low income and homeless individuals and families. Offers a 3-day supply of food to needy individuals and families. Pantry has Ensure and accommodates special dietary requests as available.

<img src=""https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/20246393_1651497674868926_1469819956479664707_n.jpg?oh=7c12f56c38f5553d0fd5270992c07b1b&amp;oe=5A851B8D"" />",church;food,,,,301-478-5575,http://www.icarol.info/ResourceView2.aspx?First=1&country=United%20States&sp=MD&county=Allegany&city=-1&org=2046&agencynum=170843,https://www.facebook.com/pg/22FHC/about/?ref=page_internal,,2139
Our Lady of the Mountain,"Provides children's clothing as well as access to a food pantry and financial assistance by contacting Allegany County Department of Social Services (301-784-7000) for a referral.

SERVICES:
CHILDREN CLOTHING ROOM: Offers children's (infants-teens) clothing to individuals and families in the community.  Open Wednesdays 9-11AM.  Donations of gently used seasonal children's clothing needed as well as pack n plays, changing tables, toys, and children's books.

FOOD PANTRY AND FINANCIAL ASSISTANCE: <strong>MUST contact Allegany County Department of Social Services (301-784-7000) for a referral.</strong>",food;church,,,,301-777-2659,http://www.olmcumberland.org/,,,2226
Garrett Treatment Center,"<div class=""section-header"">
<div class=""container"">
<div class=""row"">
<div class=""col-sm-10 col-sm-offset-1"">
<div class=""section-description"">

Garrett Treatment Center is an outpatient opioid treatment program utilizing Suboxone, and soon Vivitrol, to help persons succeed who are struggling with the disease of addiction. We are also dedicated to help those who suffer from chronic pain who require ongoing narcotic medications in a managed environment. Now that medical marijuana is available in Maryland we will offer evaluation and help patients for whom this option may be a viable addition to their current treatment plan.

Our physician, Dr. Richard Perry, has been caring for patients in this community, and the surrounding region, for over 27 years and brings to this practice a sincere desire to continue to deliver care to these patients whose lives have been so significantly affected by chronic pain or addiction.

</div>
</div>
</div>
</div>
</div>
<div class=""section-content"">
<div class=""container"">
<div class=""row inline-columns"">
<div id=""illdy_service-2"" class=""col-sm-4 widget_illdy_service"">
<div class=""service"" data-service-color=""#3f3f3f"">
<div class=""service-icon""></div>
<div class=""service-title"">
<h5>Addiction Treatment</h5>
</div>
<div class=""service-entry"">The opioid abuse problem in our country is a human catastrophe unique in our lifetimes. Lives are damaged and lives are lost every day in numbers that only a few years ago would have been unthinkable. Many solutions to this problem are being tried with varying degrees of success.</div>
</div>
</div>
<div id=""illdy_service-4"" class=""col-sm-4 widget_illdy_service"">
<div class=""service"" data-service-color=""#6a4d8a"">
<div class=""service-icon""></div>
<div class=""service-title"">
<h5>Chronic Pain Management</h5>
</div>
<div class=""service-entry"">

In addition to our addiction treatment service, GTC also offers Chronic Pain Management services. Our primary focus with this service is to provide a local access point for patients dealing with chronic pain to obtain their needed medications.

<strong><a href=""http://garretttreatmentcenter.com/pain_management"">Click Here to learn more</a></strong>

</div>
</div>
</div>
<div id=""illdy_service-3"" class=""col-sm-4 widget_illdy_service"">
<div class=""service"" data-service-color=""#1e73be"">
<div class=""service-icon""></div>
<div class=""service-title"">
<h5>Medical Marijuana</h5>
</div>
<div class=""service-entry"">

Medical Marijuana is now available to patients in the state of Maryland that have medical conditions that might be helped by its use.

<strong><a href=""http://garretttreatmentcenter.com/medical_marijuana"">Click Here to learn more</a></strong>

</div>
</div>
</div>
</div>
</div>
</div>",public-health;hospitals-and-health-services;ah;addiction-treatment,info@garetttreatmentcenter.com,,,(301)-533-2888,http://garretttreatmentcenter.com/,https://www.facebook.com/Garretttreatmentcenter/,,5923
Heritage at Siemon's Lakeview Manor Estates,"The Heritage At Siemons Lakeview Manor Estate is located in Somerset at 166 Siemon Drive and classified as a large Assisted Living facility . The Heritage At Siemons Lakeview Manor Estate provides Assisted Living services for each of its residents and if needed, assists them with bathing, grooming, meal preparation, dressing and much more. The Heritage At Siemons Lakeview Manor Estate aims to provide a safe, nurturing and caring environment to its residents in a community-style setting that is similar to being in the comfort of their own home.",aging-populations,,,,814.444.1844,,,,2975
Mollard House Personal Care,Assisted Living facility,aging-populations,,,,814.445.4663,,,,2371
Immunizations at Garrett County Health Department,The Garrett County Health Department offers a wide array of child and adult vaccines.  We participate in the Vaccines for Children program which offers no-cost vaccines for un or underinsured children through the age of 18. Our Registered Nurses stay current on the latest immunization recommendations of the Advisory Committee on Immunization Practices.  We offer convenient appointment times in two locations: Oakland and Grantsville.  Call for an appointment or for more information: 301 334-7770 or 301 895-3111.,hospitals-and-health-services,cindy.mankamyer@maryland.gov,301 334-7771,301 895-3111,301 334-7770,http://garretthealth.org,,,2576
Allegany Boys Camp,"<p class=""lead"">Allegany Boys Camp is a year-round residential wilderness camp for boys age nine to sixteen who are struggling in their homes and at school. The out-of-doors naturally provides a calm, non-threatening environment where boys can explore and create.  With the help of their group and counselors, they learn to successfully work through their problems toward emotional, behavioral, and spiritual wholeness.</p>
In many ways, a child’s behavior represents his attitudes which are shaped by his values, his view of himself, and the environment around him. We believe that building relationships and trust in a non-punitive environment can nurture long-lasting change as we focus on the attitudes and values that lie beneath a boy’s problem behavior.",education,lorraine@alleganyboyscamp.org,,,301.478.5121,http://www.alleganyboyscamp.org/,https://www.facebook.com/pg/Alleganycamp/about/?ref=page_internal,,4310
Calvary Christian Academy,"<span lang=""EN""><span style=""font-family: arial, sans-serif; font-size: medium;"">CCA’s Home School Program offers many benefits to the home school community, including accountability with flexibility, educational support, curriculum selection assistance, portfolio reviews, accredited high school diploma (which may be important for acceptance into post-high school educational programs), participation in the graduation ceremony, school transcripts, standardized testing, field trips, chapels, special events, and participation in sports.  All curriculum materials are selected by the parents; however, the home school program administrator is available to provide guidance if needed. </span></span>
<div>

<span style=""font-family: arial, sans-serif; font-size: medium;""><b> </b></span>
<div></div>
<div>Robin Park is our Home-School Administrator</div>
<div>
<div>
<div></div>
</div>
</div>
<div><span style=""font-size: medium;"">Contact Information:</span></div>
<div>E-Mail:    <a href=""mailto:ccahomeschool@gmail.com"" target=""_blank"" rel=""noopener"">ccahomeschool@gmail.com</a></div>
<div>Phone:    301-729-0791 Ext 119</div>
<div><span style=""font-size: medium;""> </span></div>
<div><span style=""font-size: medium;""><b><span style=""font-family: Arial, Verdana, sans-serif;"">Important Dates:  </span></b></span></div>
<div><span style=""font-size: medium;"">Aug. 31:    Curriculum Documentation forms due</span></div>
<div><span style=""font-size: medium;"">Oct. 3-4:    Middle School Outdoor School</span></div>
<div><span style=""font-size: medium;"">Oct.5-6:     No School</span></div>
<div><span style=""font-size: medium;"">Nov. 3:       First Quarterly Report due</span></div>
<div><span style=""font-size: medium;"">Jan. 19:     Second Quarterly Report due</span></div>
<div><span style=""font-size: medium;"">Mar. 23:     Third Quarterly Report due</span></div>
<div><span style=""font-size: medium;"">May 21:     Senior reviews need to be completed</span></div>
<div><span style=""font-size: medium;"">June 28:    Fourth Quarterly Report and Year End Report due</span></div>
</div>",education,ccahomeschool@gmail.com,,,301.729.0791,http://www.calvaryeagles.net/Home-School-Program,https://www.facebook.com/pg/ccaeagles21502/about/?ref=page_internal,,3116
